Company,Industry,Category,URL,Date Accessed,
Alaska,Airlines,Network,https://findajob-uk.blogspot.com/2019/04/alaska-airlines-usa-careers-future-schedules-analyst.html,3/15/23,
Alaska,Airlines,Pricing,https://www.application.careers/jobs/alaska-airlines-senior-pricing-analyst-28429902,3/15/23,
Alaska,Airlines,RM,"https://www.ziprecruiter.com/c/Alaska-Airlines/Job/Yield-Management-Analyst/-in-Seattle,WA?jid=7132c60b54784210&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",3/15/23,
American,Airlines,Network,https://fortworth-tx.geebo.com/jobs-online/view/id/852933052-analyst-network-and-schedule-,3/15/23,
American,Airlines,Pricing,https://fortworth-tx.geebo.com/jobs-online/view/id/852596219-analyst-senior-analyst-revenue-/ ,3/15/23,
American,Airlines,RM,https://www.flyingseekers.com/2020/02/american-airlines-careers-revenue-management-analyst-dfw.html ,3/15/23,
Delta,Airlines,Network,https://lensa.com/network-planning-senior-analyst-jobs/atlanta/jd/6d977a174e12eeb0a70e26fbc22eb267 ,3/15/23,
Delta,Airlines,Pricing,https://delta.avature.net/careers/JobDetail/Pricing-Analyst-Revenue-Management/19048,3/15/23,
Delta,Airlines,RM,https://delta.avature.net/careers/JobDetail/Analyst-Revenue-Management/19051,3/15/23,
JetBlue,Airlines,Network,https://careers.jetblue.com/job/Long-Island-City-Senior-Analyst-Route-Planning-NY-11101/987067300/,3/15/23,
JetBlue,Airlines,Pricing,https://www.simplyhired.com/job/w4SkeSNYzRk9XeXInmwGpm_WDFse11InRWrAel2Mwy5vuEc9PhJFnQ ,3/15/23,
JetBlue,Airlines,RM,https://www.simplyhired.com/job/w4SkeSNYzRk9XeXInmwGpm_WDFse11InRWrAel2Mwy5vuEc9PhJFnQ ,3/15/23,
JetBlue,Airlines,RM,https://longislandcity-ny.geebo.com/jobs-online/view/id/850136189-analyst-revenue-management-optimization-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,3/15/23,
Southwest,Airlines,Network,https://careers.southwestair.com/job/R-2023-20211/Sr-Network-Planning-Analyst ,3/15/23,
Southwest,Airlines,Pricing,https://www.linkedin.com/in/heidi-newell-64647a8,3/15/23,
Southwest,Airlines,RM,https://careers.southwestair.com/job/R-2023-20657  ,3/15/23,
United,Airlines,Network,"https://www.ziprecruiter.com/c/United-Airlines,-Inc/Job/Analyst-Sr.-Analyst-Intl-Scheduling/-in-Chicago,IL?jid=5f866040242243b1",3/15/23,
United,Airlines,Pricing,https://www.linkedin.com/in/142218 ,3/15/23,
United,Airlines,RM,https://www.jobilize.com/job/us-il-chicago-associate-analyst-pricing-revenue-management-united?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic ,3/15/23,
Frontier,Airlines,RM,https://aerocareers.co.uk/job/revenue-management-analyst-ii/?,3/16/23,
Frontier,Airlines,Pricing,https://www.linkedin.com/jobs/view/analyst-strategic-pricing-i-at-frontier-airlines-3500628251,3/16/23,
Universal Orlando Resort,Hotels,Pricing,https://universal-orlando-resort.talentify.io/job/analyst-hotel-pricing-orlando-florida-universal-orlando-resort-312974 ,3/16/23,
Universal Orlando Resort,Amusement Parks,RM,https://florida.tarta.ai/j/O8IuH4YBH2nBUJTFHHvf0223-analyst-revenue-management-in-orlando-florida-at-universal-orlando,3/16/23,
Hertz,Rental Cars,RM,"https://www.glassdoor.com/job-listing/revenue-management-analyst-hertz-JV_IC1154015_KO0,26_KE27,32.htm?jl=1008474381447 ",3/16/23,
Hertz,Rental Cars,Pricing,https://www.indeed.com/cmp/Hertz-1/reviews?fcountry=ALL&fjobtitle=Pricing+Analyst ,3/16/23,
Carnival,Cruises,Pricing,https://www.monster.com/job-openings/senior-pricing-analyst-santa-clarita-ca--2e26023a-f0ab-45f0-ae76-e0f2e1109ad3,3/16/23,
Carnival,Cruises,RM,https://jobs.carnivalcorp.com/job/seattle/revenue-management-analyst-remote-us/8858/41057529520 ,3/16/23,
Avis,Rental Cars,RM,https://us.trabajo.org/job-1373-20230305-1addfc6e418a73f516cdb75035894f43,3/16/23,
Avis,Rental Cars,Pricing,https://www.avisbudgetgroup.jobs/en/openings/cxcbzh7e54/pricing-analyst/,3/16/23,
IHG,Hotels,RM,https://careers.ihg.com/en/job-details/?jobref=Revenue+Manager+-+Crowne+Plaza+Resort+Salalah|GB|105097#291812 ,3/16/23,
IHG,Hotels,Pricing,https://builtin.com/job/data/pricing-strategy-analyst/1256024,3/16/23,
MSC Cruises,Cruises,RM,https://www.linkedin.com/jobs/view/revenue-management-analyst-at-msc-cruises-3520076704,3/16/23,
MSC Cruises,Cruises,Pricing,https://uk.linkedin.com/jobs/view/pricing-analyst-uk-ireland-at-msc-cruises-3439991361,3/16/23,
Uber,Transportation,RM,https://www.linkedin.com/jobs/view/software-engineer-backend-marketplace-dynamics-at-uber-192591727/,5/4/23,
Uber,Transportation,Pricing,https://www.builtinsf.com/job/product/sr-product-manager-fares-platform/133184,5/4/23,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
